代码,原文评级,评级变动,机构,一个月内调研数,研报前后涨跌幅,研报当天比上一日涨跌幅,研报后一天涨跌幅
000932,买入,首次,东吴证券,6,0.027124774,0.016274864,0.010676157
300244,买入,维持,中泰证券,5,-0.002415459,0.017210145,-0.019293559
300244,买入,维持,中泰证券,5,-0.002415459,0.017210145,-0.019293559
688029,买入,维持,国金证券,11,-0.001379754,0.002161615,-0.003533731
300558,买入,维持,中泰证券,11,-0.064385965,-0.045,-0.02029944
300558,增持,维持,国金证券,11,-0.064385965,-0.045,-0.02029944
600563,买入,维持,广发证券,4,0.005921619,0.018626184,-0.012472255
601888,增持,维持,国海证券,15,-0.043969232,0.009219355,-0.052702703
601111,增持,首次,东方财富证券,6,0.003797468,0.016455696,-0.0124533
603353,增持,维持,天风证券,8,-0.005382131,0.005597417,-0.010918433
603956,买入,首次,华创证券,1,0.036732456,0.003837719,0.032768979
601088,买入,维持,华西证券,9,-0.003372681,-0.00955593,0.006242906
688357,增持,首次,天风证券,1,0.029056431,-0.01942193,0.049438553
688029,增持,维持,国联证券,11,0.003546263,0.001381661,0.002161615
002032,买入,首次,开源证券,11,0.041477273,0.022443182,0.018616282
603180,买入,首次,开源证券,4,0.023186369,0.012822765,0.010232397
002648,买入,维持,中国银河,12,-0.042310522,-0.06548933,0.02480315
603708,买入,维持,中国银河,8,0.00456621,0.00871731,-0.004115226
002139,买入,维持,国信证券,1,0.018890201,0.028335301,-0.009184845
601668,买入,维持,西南证券,10,0.003766478,0,0.003766478
601888,买入,维持,新时代证券,15,0.055634807,0.045991441,0.009219355
000596,增持,-,国融证券,28,0.002564337,-0.000366334,0.002931745
002925,买入,维持,国海证券,7,0.02105571,0.040210557,-0.018414394
300413,买入,维持,华泰证券,24,0.021826536,0.009908099,0.011801507
600809,买入,维持,中银证券,19,0.038690246,0.003668237,0.03489401
002777,买入,维持,开源证券,6,0.0875,0.058035714,0.027848101
002878,增持,维持,新时代证券,9,-0.03800738,-0.042435424,0.004624277
603590,增持,首次,新时代证券,1,0.049794802,0.001367989,0.048360656
601058,买入,维持,信达证券,2,-0.023364486,-0.028037383,0.004807692
300357,买入,维持,西南证券,6,0.096285611,0.044356293,0.049723757
002588,买入,维持,中泰证券,1,0.001811594,-0.001811594,0.003629764
600282,增持,维持,中泰证券,4,0.003039514,-0.012158055,0.015384615
603599,买入,首次,东吴证券,4,0.017684887,0.009244373,0.008363202
000708,买入,首次,东吴证券,1,0.017635844,-0.007626311,0.025456292
